ImageNumber,ImageName,Greenness,Category,log_greenness,Luminance
1,1.jpeg,0.0,Combined+,0.0,65.3386847266526
2,2.jpeg,0.0645790100097656,Combined+,0.06257942524594344,39.49164040130415
3,3.jpeg,0.0271158218383789,Combined+,0.02675470145066469,41.54727046276083
4,4.jpeg,0.0346736907958984,Combined+,0.034086102414514555,45.88475034154211
5,5.jpeg,0.0041933059692382,Combined+,0.0041845385628285405,46.24702789795301
6,6.jpeg,0.0524024963378906,Combined+,0.05107564222403282,41.6938630793268
7,7.jpeg,0.0097732543945312,Combined+,0.009725805049662157,43.61542730639305
8,8.jpeg,0.0274219512939453,Combined+,0.027052704691914606,50.02412129120522
9,9.jpeg,0.0004920959472656,Combined+,0.0004919749077620138,45.61601347645647
10,10.jpeg,0.0193500518798828,Combined+,0.019165220156072915,46.03457189296813
11,11.jpeg,0.1368494033813476,Combined+,0.12826075514407326,43.84188577000951
12,12.jpeg,0.0570096969604492,Combined+,0.05544388088617941,48.91062373492688
13,13.jpeg,0.02398681640625,Combined+,0.023703651931166143,48.580891218121714
14,14.jpeg,0.0707454681396484,Combined+,0.06835510508752776,40.509642504302754
15,15.jpeg,0.0176868438720703,Combined+,0.017532251817726673,42.44016916310957
16,16.jpeg,0.0427742004394531,Combined+,0.04188466211086779,43.70139846770947
17,17.jpeg,0.0128412246704101,Combined+,0.012759475242920136,35.036861554817335
18,18.jpeg,0.0482034683227539,Combined+,0.04707771621727386,40.792609837198825
19,19.jpeg,0.0476646423339843,Combined+,0.046563536915722285,47.88499752699436
20,20.jpeg,0.0865297317504882,Combined+,0.08298888504356526,33.72619745095628
21,21.jpeg,0.0004081726074218,Combined+,0.0004080893276439873,44.14353388517655
22,22.jpeg,0.0307035446166992,Combined+,0.03024162209292219,36.175132620804256
23,23.jpeg,0.001983642578125,Combined+,0.0019816777570921705,46.87918979967457
24,24.jpeg,0.0671005249023437,Combined+,0.06494518053637559,54.05960965113705
25,25.jpeg,0.0003938674926757,Combined+,0.0003937899472358905,44.83341598971709
26,26.jpeg,0.0695962905883789,Combined+,0.06728127876328775,33.7528338411077
27,27.jpeg,0.0016717910766601,Combined+,0.0016703951894960214,48.08270205104329
28,28.jpeg,0.0089101791381835,Combined+,0.008870717724330006,62.81476769116868
29,29.jpeg,0.0598621368408203,Combined+,0.05813884008136286,48.71702765654108
30,30.jpeg,0.0199346542358398,Combined+,0.01973856076929674,37.81450862602973
31,31.jpeg,0.0005722045898437,Combined+,0.0005720409432206377,45.4795367739378
32,32.jpeg,0.1021051406860351,Combined+,0.09722211515057008,60.53894453193665
33,33.jpeg,0.0002431869506835,Combined+,0.00024315738553015116,52.10456181438601
34,34.jpeg,0.0893821716308593,Combined+,0.0856107205231322,36.22863485987427
35,35.jpeg,0.0112457275390625,Combined+,0.011182964451169633,56.284912694737336
36,36.jpeg,0.0051040649414062,Combined+,0.0050910833557765555,59.63398923909664
37,37.jpeg,0.000685691833496,Combined+,0.0006854568542601649,51.78309037540423
