ImageNumber,ImageName,Greenness,Category,log_greenness,Luminance
89,89.jpeg,0.000497817993164,Biophilic-,0.0004976941228950352,43.17009516559274
90,90.jpeg,9.5367431640625e-07,Biophilic-,9.536738616591883e-07,59.45590210965112
91,91.jpeg,1.811981201171875e-05,Biophilic-,1.811964784990813e-05,38.69388134306842
92,92.jpeg,4.673004150390625e-05,Biophilic-,4.672894968953033e-05,54.39772215702843
93,93.jpeg,1.811981201171875e-05,Biophilic-,1.811964784990813e-05,52.89411318554548
94,94.jpeg,0.0,Biophilic-,0.0,64.10767582197204
95,95.jpeg,0.0024290084838867,Biophilic-,0.002426063211210023,44.88438771707001
96,96.jpeg,0.0107669830322265,Biophilic-,0.0107094318039425,49.30389366377389
97,97.jpeg,0.0034494400024414,Biophilic-,0.003443504330189896,47.623293036608544
98,98.jpeg,6.389617919921875e-05,Biophilic-,6.389413792531323e-05,39.057851540411775
99,99.jpeg,0.0236215591430664,Biophilic-,0.02334688715971925,48.8571487323562
100,100.jpeg,0.0028982162475585,Biophilic-,0.0028940245159264646,41.34413654005897
101,101.jpeg,3.814697265625e-06,Lighting-,3.8146899896858897e-06,42.4694538384198
102,102.jpeg,0.0052433013916015,Lighting-,0.0052296031486737515,42.20546537570635
103,103.jpeg,0.002145767211914,Lighting-,0.0021434683414233843,44.384333774250656
104,104.jpeg,3.814697265625e-06,Lighting-,3.8146899896858897e-06,56.60425323368143
105,105.jpeg,3.528594970703125e-05,Lighting-,3.528532717255232e-05,45.43640341171947
106,106.jpeg,0.0002050399780273,Lighting-,0.00020501896020395222,36.51138611426824
107,107.jpeg,9.918212890625e-05,Lighting-,9.917721068409996e-05,36.97507738727738
108,108.jpeg,3.814697265625e-05,Lighting-,3.814624507899177e-05,44.41104297798686
109,109.jpeg,0.0,Lighting-,0.0,55.08435702796812
110,110.jpeg,5.7220458984375e-06,Lighting-,5.722029527595318e-06,57.06070026210476
111,111.jpeg,0.0002946853637695,Lighting-,0.0002946419525659115,43.18025167300139
112,112.jpeg,0.0,Lighting-,0.0,65.28107151265392
113,113.jpeg,1.430511474609375e-05,Lighting-,1.4305012428915572e-05,33.01191018812835
114,114.jpeg,0.0,Lighting-,0.0,57.64421779965626
115,115.jpeg,1.9073486328125e-06,Lighting-,1.9073468138254095e-06,51.35032047585194
116,116.jpeg,0.0002508163452148,Lighting-,0.000250784896053819,57.78065931725705
117,117.jpeg,9.5367431640625e-07,Lighting-,9.536738616591883e-07,44.37814745895791
118,118.jpeg,4.76837158203125e-06,Lighting-,4.768360213383618e-06,56.80677360375689
119,119.jpeg,0.0063438415527343,Lighting-,0.0063238040882622965,51.71269198490146
120,120.jpeg,9.5367431640625e-07,Lighting-,9.536738616591883e-07,52.04422047175861
121,121.jpeg,0.014596939086914,Ceiling-,0.014491429279071533,40.76423759743153
122,122.jpeg,0.0266447067260742,Ceiling-,0.02629591853608854,45.06712849198989
123,123.jpeg,0.0115079879760742,Ceiling-,0.0114422747532293,59.06038957832262
124,124.jpeg,0.001072883605957,Ceiling-,0.0010723084776680849,46.906280232033176
125,125.jpeg,0.0251626968383789,Ceiling-,0.024851328617125218,53.29883289535859
126,126.jpeg,0.0041055679321289,Ceiling-,0.0040971630847009485,63.56702017985834
127,127.jpeg,1.049041748046875e-05,Ceiling-,1.049036245642411e-05,65.44481377565211
128,128.jpeg,9.5367431640625e-06,Ceiling-,9.536697689616529e-06,61.02141053716958
129,129.jpeg,0.0,Ceiling-,0.0,57.53332199064999
130,130.jpeg,3.147125244140625e-05,Ceiling-,3.147075723193102e-05,52.9504361139082
131,131.jpeg,0.0001029968261718,Ceiling-,0.0001029915223628798,59.10289572058796
132,132.jpeg,1.1444091796875e-05,Ceiling-,1.1444026313756068e-05,57.03777248793229
133,133.jpeg,0.0033044815063476,Ceiling-,0.003299033705473796,42.99935645784487
134,134.jpeg,0.0035839080810546,Ceiling-,0.003577501185740704,39.66519031740823
135,135.jpeg,0.0026674270629882,Ceiling-,0.002663875793187025,54.17465446164161
136,136.jpeg,0.1289148330688476,Ceiling-,0.12125684659920923,37.50661222342596
137,137.jpeg,0.0145292282104492,Ceiling-,0.014424690327515732,41.93777993743783
138,138.jpeg,0.0,Ceiling-,0.0,57.955863063207104
139,139.jpeg,0.0043001174926757,Ceiling-,0.004290898406769764,58.69176187302583
140,140.jpeg,7.343292236328125e-05,Ceiling-,7.343022629822366e-05,57.62230487159701
141,141.jpeg,0.0,Combined-,0.0,55.022142216369225
142,142.jpeg,0.0043287277221679,Combined-,0.0043193857299129055,33.67807978057851
143,143.jpeg,0.0,Combined-,0.0,60.58925117460652
144,144.jpeg,0.000213623046875,Combined-,0.00021360023272095016,41.67953543650953
145,145.jpeg,0.000279426574707,Combined-,0.0002793875423726188,35.324939120805226
146,146.jpeg,0.0003890991210937,Combined-,0.0003890234416612461,37.454928544927085
147,147.jpeg,0.0787534713745117,Combined-,0.07580618137047293,40.36250385362119
148,148.jpeg,8.58306884765625e-06,Combined-,8.583032013331595e-06,46.70529145313174
149,149.jpeg,4.57763671875e-05,Combined-,4.577531948157688e-05,48.5953878334477
150,150.jpeg,3.814697265625e-05,Combined-,3.814624507899177e-05,49.15705128744095
151,151.jpeg,1.049041748046875e-05,Combined-,1.049036245642411e-05,54.4736568171819
152,152.jpeg,4.1961669921875e-05,Combined-,4.1960789555631356e-05,34.65834866732429
153,153.jpeg,0.0,Combined-,0.0,58.948155841303695
154,154.jpeg,9.5367431640625e-06,Combined-,9.536697689616529e-06,36.86283248729372
155,155.jpeg,0.0,Combined-,0.0,45.2186608258046
156,156.jpeg,1.430511474609375e-05,Combined-,1.4305012428915572e-05,48.15625395038358
157,157.jpeg,8.0108642578125e-05,Combined-,8.010543405216977e-05,47.624589453078514
158,158.jpeg,6.67572021484375e-05,Combined-,6.675497398558155e-05,34.36363921206428
159,159.jpeg,0.0005760192871093,Combined-,0.0005758534516796203,55.141899785740414
160,160.jpeg,0.002166748046875,Combined-,0.002164404033639084,48.56107049879284
